filename,snr,siib_score_gaussian
ALL_049_F_ENG_ENG_HT1_S054,8,58.169143632511386
ALL_049_F_ENG_ENG_HT1_S055,6,70.25189200791556
ALL_049_F_ENG_ENG_HT1_S055,0,40.745733262773825
ALL_049_F_ENG_ENG_HT1_S055,2,48.87623397949035
ALL_049_F_ENG_ENG_HT1_S055,4,58.716800358446434
ALL_049_F_ENG_ENG_HT1_S056,0,40.87243263752703
ALL_049_F_ENG_ENG_HT1_S055,n4,28.453471470851188
ALL_049_F_ENG_ENG_HT1_S056,2,48.6674629099294
ALL_049_F_ENG_ENG_HT1_S055,n2,34.02579089747954
ALL_049_F_ENG_ENG_HT1_S055,8,83.25189934159192
ALL_049_F_ENG_ENG_HT1_S056,4,57.66122231748754
ALL_049_F_ENG_ENG_HT1_S056,8,79.52484640676317
ALL_049_F_ENG_ENG_HT1_S056,6,67.9360804661882
ALL_049_F_ENG_ENG_HT1_S056,n4,28.63737847885206
ALL_049_F_ENG_ENG_HT1_S056,n2,34.215751782830466
ALL_049_F_ENG_ENG_HT1_S057,0,32.65210193266742
ALL_049_F_ENG_ENG_HT1_S057,2,39.71250737202398
ALL_049_F_ENG_ENG_HT1_S057,4,48.00757532240852
ALL_049_F_ENG_ENG_HT1_S057,6,57.75114013663905
ALL_049_F_ENG_ENG_HT1_S057,8,69.0366284361642
ALL_049_F_ENG_ENG_HT1_S057,n4,21.918448609304363
ALL_049_F_ENG_ENG_HT1_S057,n2,26.769722660620335
ALL_049_F_ENG_ENG_HT1_S058,0,42.82282771585932
ALL_049_F_ENG_ENG_HT1_S058,4,64.8847197726127
ALL_049_F_ENG_ENG_HT1_S058,2,52.89696134016637
ALL_049_F_ENG_ENG_HT1_S058,6,78.77670986613148
ALL_049_F_ENG_ENG_HT1_S058,8,94.45166046826216
ALL_049_F_ENG_ENG_HT1_S058,n2,34.60226032651668
ALL_049_F_ENG_ENG_HT1_S059,0,49.90424512021592
ALL_049_F_ENG_ENG_HT1_S058,n4,27.932797713646707
ALL_049_F_ENG_ENG_HT1_S059,2,58.60955697571217
ALL_049_F_ENG_ENG_HT1_S059,4,68.6889439590868
ALL_049_F_ENG_ENG_HT1_S059,8,94.48861030576748
ALL_049_F_ENG_ENG_HT1_S059,6,80.51446092379182
ALL_049_F_ENG_ENG_HT1_S059,n2,42.11085926489973
ALL_049_F_ENG_ENG_HT1_S059,n4,34.99775213895849
ALL_049_F_ENG_ENG_HT1_S060,0,39.684874108287914
ALL_049_F_ENG_ENG_HT1_S060,2,48.331343637441854
ALL_049_F_ENG_ENG_HT1_S060,4,58.37749544364202
ALL_049_F_ENG_ENG_HT1_S060,8,83.71987050024902
